,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019
DKK million,Share capital,Treasury shares,Retained earnings,Other reserves,Total,Share capital,Treasury shares,Retained earnings,Other reserves,Total,Share capital,Treasury shares,Retained earnings,Other reserves,Total
Balance at the beginning of te year,480,（10),"57,817",(694),"57,593",490,(11),"53,406","(2,046)","51,839",500,(11),"48,887",439,"49,815"
Net profit,,,"42,138",,"42,138",,,"38,951",,"38,951",,,"38,628",,"38,628"
Other comprehensive income,,,(67),(543）,(610）,,,(187),"1,352","1,165",,,87,"(2,485)","(2,398)"
Total comprehensive income,,,42.071,(543）,41.528,,,"38,764","1,352","40,116",,,"38,715","(2,485)","36,230"
Transfer of cashfow hedge reserve to intangible assets,,,,326,326,,,,,,,,,,
Transactions with owners:,,,,,,,,,,,,,,,
Dividends (note 4.1),,,"(20,121)",,"(20,121)",,,"(19,409)",,"(19,409)",,,"(19,048)",,"(19,048)"
Share-based payments (note 5.1),,,823,,823,,,363,,363,,,414,,414
Tax related to restricted stock units,,,31,,31,,,18,,18,,,(5),,(5)
Purchase of treasury shares (note 4.1),,(8）,"(16,847)",,"(16,855)",,,"(15,325)",,"(15,334)",,（10）,"(15,557)",,"(15,567)"
Reduction of the B share capital (note 4.1),(10),10,,,,（10） 480,,,,1,(10),10,,,1
Balance at the end of the year,470,(8）,"63,774",（911),"63,325",,,"57,817",(694),"57,593",490,(11）,"53,406","(2,046)","51,839"
