,Gross,Gross,Gross
DKK million,carrying,Loss amount allowance,carrying amount
2020,,,
Not yet due,"27,511",(805),"26,706"
1-90 days,"1,000",(112),888
91-180 days,188,(63),125
181-270 days,44,(29),15
271-360 days,51,(51),
More than 360 days past due,320,(320),
Trade receivables,"29,114","(1,380)","27,734"
EMEA,"6,306",(781),"5,525"
China,"2,137",,"2,137"
Rest of World,"3,003",(580),"2,423"
North America Operations,"17,668",(19),"17,649"
Trade receivables,"29,114","(1,380)","27,734"
2019,,,
Not yet due,"24,359",(763),"23,596"
1-90 days,"1,204",(127),"1,077"
91-180 days,261,(69),192
181-270 days,96,(49),47
271-360 days,79,(79),
More than 360 days past due,397,(397),
Trade receivables,"26,396","(1,484)","24,912"
EMEA,"7,104",(903),"6,201"
China,"1,760",1,"1,760"
Rest of World,"3,084",(568),"2,516"
North America Operations,"14,448",(13),"14,435"
Trade receivables,"26,396","(1,484)","24,912"
