DKK million,DKK million,DKK million,DKK million,Note,2020,2019,,,,
Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,,,,,,,
Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,4.1,470,480,,,,
Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,4.1,(8),(10),,,,
Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,,"63,774","57,817",,,,
Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,Equity and liabilities Share capitalTreasury shares Retained earningsOther reserves,4.1,(911),(694),,,,
Total equity,Total equity,Total equity,Total equity,,"63,325","57,593",,,,
Borrowings,Borrowings,Borrowings,Borrowings,4.4,"2,897","3,009",,,,
Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,,,,,,,
Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,,,,,,,
Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,,,,,2.6,"2,502",80
Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,,,,3.5,"1,399","1,334",
Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,Deferred income tax liabiitiesRetirement benefit obligationsProvisions,3.6,"4,526","4,613",,,,
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,,"11,324","9,036",,,,
Borrowings,Borrowings,Borrowings,Borrowings,,,"1,474",,,,
Borrowings,Borrowings,Borrowings,Borrowings,4.4,"7,459","1,474",,,,
Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,,"5,717",,,,
Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,Trade payables Tax payables,"3,913","4,212",,,,
Other liabilities 3.7,Other liabilities 3.7,Other liabilities 3.7,Other liabilities 3.7,Other liabilities 3.7,"17,005","15,085",,,,
Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,"1,365",734,,,,
Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,Derivative financial instruments 4.3Provisions 3.6,"34,814","31,120",,,,
Total current liabilities,Total current liabilities,Total current liabilities,Total current liabilities,Total current liabilities,"70,273","58,983",,,,
Total liabilities,Total liabilities,Total liabilities,Total liabilities,Total liabilities,"81,597","68,019",,,,
Total equity and liabilities,Total equity and liabilities,Total equity and liabilities,Total equity and liabilities,Total equity and liabilities,"144,922","125,612",,,,
