DKK million,Note,2020,2019,2018
Net profit,,"42,138","38,951","38,628"
Adjustment of non-cash items:,Income taxes in the income statement,"10,992","9,602","8,987"
,"Depreciation, amortisation and impairment losses","5,753","5,661","3,925"
,Other non-cash items,"7,849","7,032","6,098"
,Change in working capital,"(4,353)","(3,388)","(3,370)"
,Interest received,100,64,51
,Interest paid,(422),(204),(89)
Income taxes paid,2.6,"(10,106)","(10,936)","(9,614)"
Net cash generated from operating activities,,"51,951","46,782","44,616"
Purchase of intangible assets,3.1,"(16,256)","(2,299)","(2,774)"
"Proceeds from sale of property, plant and equipment",,7,4,13
"Purchase of property, plant and equipment",3.1,"(5,825)","(8,932)","(9,636)"
Proceeds from other financial assets,,12,148,178
Purchase of other financial assets,,,(350),(248)
Investment in associated companies,5.3,(392),(97),
Proceeds from the divestment of Group and associated companies,,,(3),368
Dividend received from associated companies,5.3,18,20,19
Net cash used in investing activities,,"(22,436)","(11,509)","(12,080)"
