,,,,,2020,2020,2020,2020,2020,2019
,,,,More,,,,,More,
DKK million,Within 1 year,1-3 years,3-5 years,than 5 years,Total,Within 1 year,1-3 years,3-5 years,than 5 years,Total
,,,,,"1,399",,,,,
Retirement benefit obligations,23 855,46,44,"1,286",,13 847,26,25,"1,270","1,334"
Leases (note 4.4) Total obligations recognised in the,,"1,247",694,"1,241","4,037",,"1,424",734,"1,140","4,145"
balance sheet,878,"1,293",738,"2,527","5,436",860,"1,450",759,"2,410","5,479"
Leases1,152,198,134,280,764,128,229,199,376,932
Research and development obligations,"2,733","3,460",905,137,"7,235","2,600","3,258","1,493",29,7.380
Research and development - potential milestone payments2,205,918,507,"2,453","4,083",300,"1,023","1,009","2,403","4,735"
Commercial product launch - potential milestone payments2,,,212,"5,893","6,105",,,,"3,468","3,468"
Purchase obligations relating to invest-,,,,,,,,,,
"ments in property, plant and equipment",339,,,,339,172,,,,172
Other purchase obligations,"7,528","3,014",773,748,"12,063","5,695","2,989","1,175",621,"10,480"
Total obligations not recognised in the,,,,,,,,,,
balance sheet,"10,957","7,590","2,531","9,511","30,589",8.895,"7,499","3,876","6,897","27,167"
Total contractual obligations,"11,835","8,883","3,269","12,038","36,025","9,755","8,949","4,635","9,307","32,646"
