Activision,Blizzard,King,Non-reportable,Elimination of intersegment revenues,Total
Net revenues by distribution channel:,Digital online channels (1),"1,740","2,009","2,090",",5,786"
,Retail channels,998,109,,",,1,107"
,Other (2),,148,,"459,,607"
,Total consolidated net revenues,"2,738","2,266","2,090","459,(53),7,500"
Change in deferred revenues:,Digital online channels (1),96,32,(4),",(68)"
,Retail channels,(184),(7),,",,(191)"
,Other (2),,,,"21,,21"
,Total change in deferred revenues,(280),25,(4),"21,,(238)"
Segment net revenues:,Digital online channels (1),"1,644","2,041","2,086",",5,718"
,Retail channels,814,102,,",,916"
,Other (2),,148,,"480,,628"
,Total segment net revenues,"2,458","2,291","2,086","480,(53),7,262"
