"Year Ended December 31, 2019",Activision,,Blizzard,King,Non-reportable segments,Elimination of intersegment revenues (3),Total
Net revenues by distribution channel:,,,,,,,
Digital online channels (1),"$1,366","$1,580","$2,029",,,"(43) $ 4,932",
Retail channels,818,91,,,,909,
Other (2),"3,181",,,,464,648,
Total consolidated net revenues,"$2,187","$1,852","$2,029",,464,"(43) $ 6,489",
Change in deferred revenues:,,,,,,,
Digital online channels (1),$122,$(128),$2,,,$(4),
Retail channels,$(90),$(5),,,,$(95),
Other (2),,,,,(2),$(2),
Total change in deferred revenues,$32,$(133),$2,,(2),$(101),
Segment net revenues: Digital online channels (1),"$1,488","$1,452","$2,031",,,"(43) $ 4,928",
Retail channels,728,86,,,,814,
Other (2),3,181,,462,,646,
Total segment net revenues,"$2,219","$1,719","$2,031",,462,"(43) $ 6,388",
