,"Quoted Prices in Active Markets for As of December 31,",,Significant Other,Significant Other,Significant Unobservable Inputs (Level3),Balance Sheet Classification
,"Quoted Prices in Active Markets for As of December 31,",,Identical Assets (Level 1),Observable Inputs (Level 2),Significant Unobservable Inputs (Level3),Balance Sheet Classification
Financial Assets:,2019,,,,,
Recurring fair value measurements:,,,,,,
Money market funds,$,"5,320$","5,320$",,$,Cash and cash equivalents
Foreign government treasury bills,,37,37,,,Cash and cash equivalents
U.S. treasuries and government agency securities,,65,65,,,Other current assets
Total recurring fair value measurements,$,"5,422","$ 5,422",$,$,
Financial Liabilities:,,,,,,
Foreign currency forward contracts not,,,,,,Accrued expenses and other
designated as hedges,$,(2)$,,$ (2)$,,liabilities
Foreign currency forward,,,,$ (2),,Accrued expenses and other
contracts designated as hedges,$,(2) $,,,$,liabilities
