,"For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,"
,2019,,2018,2017
Numerator:,,,,
Consolidated net income,,"1,503$","1,848$",273
Denominator:,,,,
Denominator for basic earnings per common share—weighted-average common shares,,,,
outstanding,,767,762,754
Effect of dilutive stock options and awards under the treasury stock method Denominator for diluted earnings per common share—weighted-average common shares,,4,9,12
outstanding plus dilutive common shares under the treasury stock method,,771,771,766
Basic earnings per common share,,1.96 $,2.43,0.36
Diluted earnings per common share,,1.95 $,2.40,0.36
