Federal income tax provision at statutory rate,2019,"$,",2018,"$,",2017
$,343,,394,,403
21 %,,,21 %,,35 %
"State taxes, net of federal benefit",20,1%,36,2%,4
1 %,,,2 %,,
Research and development credits,(38),(2),(46),(2),(26)
(2),,,(2),,(2)
Foreign rate differential,(104),(7),(198),(11),(271)
(7),,,(11),,(24)
Change in tax reserves,96,6%,285,15%,291
6 %,,,15 %,,25 %
Acquired net operating loss utilization,—,,—,,(36)
—,,,,,(3)
Audit settlements,54,3%,(115),(6),
3 %,,,(6),,
Excess tax benefits related to share-based payments,(2),,(58),(3),(113)
—,,,(3),,(10)
U.S. Tax Reform Act,—,,(340),(18),636
—,,,,,55 %
Change in valuation allowance,11,1%,61,3%,
1 %,,,3 %,,
Intra-entity IP Transfer,(230),(14),,,
(14),,,,,
Other,(20),(1) %,10,1%,(10)
(1) %,,,1%,,
Income tax expense,"$,",130,8%,2%,"29,878"
8%,,,2%,,76%
