Year Ended December 31, 2015,Activision,Blizzard,King,Non-reportable,Elimination of intersegment revenues (3),Total
Net revenues by platform:,Activision,Blizzard,King,segments,revenues,,
Console,"$ 1,783",$ 137,$ —,$ —,$ —,"$ 1,920",
PC,$ 298,"$ 1,346",$ 117,$ —,(43),"$ 1,718",
Mobile and ancillary (1),$ 103,$ 188,"$ 1,912",$ —,$ —,"$ 2,203",
Other (2),$ 3,$ 181,$ —,$ 464,$ —,$ 648,
Total consolidated net revenues,"$ 2,187","$ 1,852","$ 2,029",$ 464,$ (43),"$ 6,489",
Change in deferred revenues:,Activision,Blizzard,King,segments,revenues,,
Console,$ (36),$ (18),$ —,$ —,$ —,$ (54),
PC,$ 57,(110),$ —,$ —,$ —,$ (53),
Mobile and ancillary (1),$ 11,(5),$ 2,$ —,$ —,$ 8,
Other (2),$ —,$ —,$ —,$ (2),$ —,$ (2),
Total change in deferred revenues,$ 32,$ (133),$ 2,$ (2),$ —,$ (101),
Segment net revenues:,Activision,Blizzard,King,Non-reportable,Elimination of intersegment revenues (3),Total,
Console,"$ 1,747",$ 119,$ —,$ —,$ —,"$ 1,866",
PC,$ 355,"$ 1,236",$ 117,$ —,(43),"$ 1,665",
Mobile and ancillary (1),$ 114,$ 183,"$ 1,914",$ —,$ —,"$ 2,211",
Other (2),$ 3,$ 181,$ —,$ 462,$ —,$ 646,
Total segment net revenues,"$ 2,219","$ 1,719","$ 2,031",$ 462,$ (43),"$ 6,388",
