Activision,Blizzard,King,,Elimination of intersegment revenues (2),Total
Net revenues by geographic region:,,,,,
Americas,"$ 1,622","$ 1,004","$ 1,269",$ 13,$ (28)
EMEA (1),$ 897,$ 692,$ 599,$ 446,$ (16)
Asia Pacific,$ 219,$ 570,$ 222,$ 0,$ (9)
Total consolidated net revenues,"$ 2,738","$ 2,266","$ 2,090",$ 459,$ (53)
Change in deferred revenues:,,,,,
Americas,$ (163),$ 15,$ (3),$ 0,$ 0
EMEA (1),$ (127),$ 16,$ (1),$ 21,$ 0
Asia Pacific,$ 10,$ (6),$ 0,$ 0,$ 0
Total change in deferred revenues,$ (280),$ 25,$ (4),$ 21,$ 0
Segment net revenues:,,,,,
Americas,"$ 1,459","$ 1,019","$ 1,266",$ 13,$ (28)
EMEA (1),$ 770,$ 708,$ 598,$ 467,$ (16)
Asia Pacific,$ 229,$ 564,$ 222,$ 0,$ (9)
Total segment net revenues,"$ 2,458","$ 2,291","$ 2,086",$ 480,$ (53)
