,"For the Year Ended December 31, 2019","For the Year Ended December 31, 2019","For the Year Ended December 31, 2019","For the Year Ended December 31, 2019","For the Year Ended December 31, 2019","For the Year Ended December 31, 2019",Increase /(decrease) 2019 v 2018,Increase /(decrease) 2019 v 2018,Increase /(decrease) 2019 v 2018,Increase /(decrease) 2019 v 2018,Increase /(decrease) 2019 v 2018,Increase /(decrease) 2019 v 2018,
,Activision,Activision,Blizzard,Blizzard,King,King,Total,Total,Blizzard,Blizzard,King,King,Total
Segment Revenues,,,,,,,,,,,,,
Net revenues from external,,,,,,,,,,,,,
customers,$,"2,219",$,"1,676",,"2,031 $","5,926",$,(239）$,(562）,$,(55）$,(856)
Intersegment net revenues (1),,,,43,,,43,,,(10),,,(10)
Segment net revenues,$,"2,219",$,"1,719",$,"2,031 $","5,969",$,(239）$,(572)$,,(55)$,(866)
Segment operating income,$,,$,,,,,,,,,,
,,850,,464,$,740 $,"2,054",$,(161)$,(221)$,,(10)$,(392)
,,,"For the Year Ended December 31, 2018",,,,,,,,,,
,,Activision,,Blizzard,,King,Total,,,,,,
Segment Revenues,,,,,,,,,,,,,
Net revenues from external customers,$,"2,458",$,,,,,,,,,,
Intersegment net revenues (1),,,,"2,238 53",$,"2,086","6,782 53",,,,,,
Segment net revenues,$,"2,458",$,"2,291",$,"2,086","6,835",,,,,,
Segment operating income,$,,"1,011 $",,685$,750$,"2,446",,,,,,
