Exhibit Number,Exhibit
3.1,"Third Amended and Restated Certificate of Incorporation of Activision Blizzard, Inc., dated June 5, 2014 (incorporated by reference to Exhibit 3.1 of the Company’s Form 8-K, filed June 6, 2014)."
3.2,"Fourth Amended and Restated Bylaws of Activision Blizzard, Inc., adopted as of February 1, 2018 (incorporated by reference to Exhibit 3.1 of the Company’s Form 8-K/A, filed March 21, 2018)."
4.1,"Indenture, dated as of September 19, 2016, among Activision Blizzard, Inc., the guarantors named therein and Wells Fargo Bank, National Association, as trustee, with respect to the Company’s 2.300% Unsecured Senior Notes due 2021 and the Company’s 3.400% Unsecured Senior Notes due 2026 (incorporated by reference to Exhibit 4.1 of the Company’s Form 8-K, filed September 19, 2016)."
4.2,"Base Indenture, dated as of May 26, 2017, between Activision Blizzard, Inc. and Wells Fargo Bank, National Association, as trustee (incorporated by reference to Exhibit 4.1 of the Company’s Form 8-K, filed May 26, 2017)."
4.3,"First Supplemental Indenture, dated as of May 26, 2017, between Activision Blizzard, Inc. and Wells Fargo Bank, National Association, as trustee, with respect to the Company’s 2.600% Unsecured Senior Notes due 2022, the Company’s 3.400% Unsecured Senior Notes due September 2027 and the Company’s 4.500% Unsecured Senior Notes due 2047 (incorporated by reference to Exhibit 4.2 of the Company’s Form 8-K, filed May 26, 2017)."
4.4,"Form of certificate for the Company’s 2.600% Unsecured Senior Notes due 2022 (incorporated by reference to Exhibit 4.3 of the Company’s Form 8-K, filed May 26, 2017)."
4.5,"Form of certificate for the Company’s 3.400% Unsecured Senior Notes due 2027 (incorporated by reference to Exhibit 4.4 of the Company’s Form 8-K, filed May 26, 2017)."
4.6,"Form of certificate for the Company’s 4.500% Unsecured Senior Notes due 2047 (incorporated by reference to Exhibit 4.5 of the Company’s Form 8-K, filed May 26, 2017)."
4.7,Description of Securities.
10.1*,"Activision Blizzard, Inc. Amended and Restated 2008 Incentive Plan, as amended and restated on June 7, 2012 (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed June 12, 2012)."
10.2*,"Activision Blizzard, Inc. 2014 Incentive Plan, amended and restated as of March 2, 2017 (incorporated by reference to Exhibit 10.1 of the Company’s Form 10-Q filed May 4, 2017)."
10.3*,"Activision Blizzard, Inc. KDE Equity Incentive Plan, amended as of November 1, 2016 (incorporated by reference to Exhibit 10.14 of the Company’s Form 10-K for the year ended December 31, 2016)."
10.4*,"Form of Notice of Stock Option Award for grants to unaffiliated directors pursuant to the Activision Blizzard, Inc. 2008 Incentive Plan (effective as of November 12, 2008) (incorporated by reference to Exhibit 10.44 of the Company’s Form 10-K for the year ended December 31, 2008)."
10.5*,"Form of Notice of Stock Option Award for grants to persons other than directors pursuant to the Activision Blizzard, Inc. 2008 Incentive Plan (effective as of November 12, 2008) (incorporated by reference to Exhibit 10.45 of the Company’s Form 10-K for the year ended December 31, 2008)."
10.6*,"Form of Notice of Stock Option Award for grants to unaffiliated directors pursuant to the Activision Blizzard, Inc. 2008 Incentive Plan (effective as of March 6, 2013) (incorporated by reference to Exhibit 10.5 of the Company’s Form 10-Q for the quarter ended March 31, 2013)."
10.7*,"Form of Notice of Stock Option Award for grants to persons other than directors pursuant to the Activision Blizzard, Inc. 2008 Incentive Plan (effective as of March 6, 2013) (incorporated by reference to Exhibit 10.6 of the Company’s Form 10-Q for the quarter ended March 31, 2013)."
10.8*,"Form of Notice of Stock Option Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of June 5, 2014) (incorporated by reference to Exhibit 10.1 of the Company’s Form 10-Q for the quarter ended June 30, 2014)."
10.9*,"Form of Notice of Restricted Share Unit Award for grants to persons other than non-affiliated directors pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of June 5, 2014) (incorporated by reference to Exhibit 10.2 of the Company’s Form 10-Q for the quarter ended June 30, 2014)."
10.10*,"Form of Notice of Performance-Vesting Restricted Share Unit Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of June 5, 2014) (incorporated by reference to Exhibit 10.4 of the Company’s Form 10-Q for the quarter ended June 30, 2014)."
10.11*,"Form of Notice of Restricted Share Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of June 5, 2014) (incorporated by reference to Exhibit 10.5 of the Company’s Form 10-Q for the quarter ended June 30, 2014)."
10.12*,"Form of Notice of Restricted Share Unit Award for grants to persons other than non-affiliated directors pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of July 29, 2014) (incorporated by reference to Exhibit 10.1 of the Company’s Form 10-Q for the quarter ended September 30, 2014)."
