,"As of December 31,","As of December 31,",Quoted Prices in Active Markets for Significant Other Observable Inputs,,Significant,Balance Sheet
,2018,,Identical Assets (Level 1),(Level 2),Unobservable Inputs (Level3),Classification
Financial Assets:,,,,,,
Recurring fair value measurements:,,,,,,
Money market funds,$,"3,925 32","3,925",,$,Cash and cash equivalents
Foreign government treasury bills U.S. treasuries and government agency,,,32,,,Cash and cash equivalents
securities Foreign currency forward contracts,,150,150,,,Other current assets
designated as hedges Foreign currency forward contracts not,,13,,13,,Other current assets
designated as hedges,,1,,1,,Other current assets
Total recurring fair value measurements,,"4,121 $","4,107",14,$,
Financial Liabilities:,,,,,,
Foreign currency forward,,,,,,Accrued expenses and other
contracts designated as hedges,$,(1)$,,,(1)$,liabilities
