,,,,,,Elimination of Non-reportable intersegment,Elimination of Non-reportable intersegment,,
,Activision,,Blizzard,,King,segments,,revenues (2),Total
Net revenues by geographic region:,$,,,,,$,,,
Americas,,"1,622","1,004",$,"1,269",,13$,(28) $,"3,880"
EMEA (1),,897,692,,599,,446,(16),"2,618"
Asia Pacific,$,219,570,,222,$,459$,(9),"1,002"
Total consolidated net revenues,,"2,738","2,266",$,"2,090",,,(53)s,"7,500"
Change in deferred revenues:,,,,,,,,,
Americas,$,(163)$,,15$,(3) $,,$,,(151)
EMEA (1),,(127),,16,(1),,21,,(91)
Asia Pacific,,10,,(6),,,,,4
Total change in deferred revenues,$,(280）$,,25 $,（4$,,21$,,$ (238)
Segment net revenues:,,,,,,,,,
Americas,$,"1,459","1,019",$,"1,266$",,13$,(28) $,"3,729"
EMEA (1),,770,708,,598,,467,(16),"2,527"
Asia Pacific,,229,564,,222,,,(9),"1,006"
Total segment net revenues,$,"2,458","2,291",$,"2,086",$,480$,(53）$,"7,262"
