Activision,Blizzard,King,Non-reportable segments,Elimination of intersegment revenues,Total
Net revenues by distribution channel:,Digital online channels (1),"1,740","2,009","2,090",(53)
",",Retail channels,998,109,,
",",Other (2),,148,,459
Total consolidated net revenues,,"2,738","2,266","2,090",459
Change in deferred revenues:,Digital online channels (1),-96,32,,-4
",",Retail channels,-184,-7,,
",",Other (2),,,,21
Total change in deferred revenues,,-280,25,,21
Segment net revenues:,Digital online channels (1),"1,644","2,041","2,086",(53)
",",Retail channels,814,102,,
",",Other (2),,148,,480
Total segment net revenues,,"2,458","2,291","2,086",480
