Activision,Blizzard,King,Non-reportable segments,Elimination of intersegment revenues (2),Total
Net revenues by geographic region:,,"$ 1,286",$ 822,"$ 1,254","$ —,$ (21),$ 3,341"
EMEA (1),,$ 691,$ 543,$ 557,"$ 464,$ (16),$ 2,239"
Asia Pacific,,$ 210,$ 487,$ 218,"$ —,$ (6),$ 909"
Total consolidated net revenues,,"$ 2,187","$ 1,852","$ 2,029","$ 464,$ (43),$ 6,489"
Change in deferred revenues:,,Americas,EMEA (1),Asia Pacific,Total change in deferred revenues
,,$ 16,$ 12,$ 4,$ 32
,,$ (62)$,$ (57)$,$ (14)$,$ (133)$
,,$ 2$,$ —$,$ —$,$ 2$
,,"$ —,$ (44)","$ —,$ (47)","$ —,$ (10)","$ —,$ (101)"
Segment net revenues:,,Americas,EMEA (1),Asia Pacific,Total segment net revenues
,,"$ 1,302$",$ 760$,$ 214$,"$ 2,219$"
,,"$ —,$ (21)$","$ —,$ (6) $",$ —$,"$ —,$ (43)$"
,,"$ 3,297$","$ 2,192$",$ 899$,"$ 6,388$"
,,"$ 1,256$",$ 557$,$ 218$,"$ 2,031 $"
