"As of December 31,,2019",2018
Deferred tax assets:,
Allowance for sales returns and price protection,$19
Accrued expenses,28
Deferred revenue,119
Tax attributes carryforwards,93
Share-based compensation,54
Intangibles,1289
U.S. deferred taxes on foreign earnings,-
Capitalized software development expenses,67
Other,109
"Deferred tax assets, net of valuation allowance",1597
Valuation allowance,-181
Deferred tax liabilities:,
Intangibles,-142
Capitalized software development expenses,-
U.S. deferred taxes on foreign earnings,-594
Other,-73
Net deferred tax assets,$788
