,Activision,Activision,,,Non-reportable segments,Non-reportable segments,Elimination of intersegment revenues (2),Elimination of intersegment revenues (2)
Net revenues by geographic region:,,,Blizzard,King,,,,Total
Americas,,"1,286",822,$,"1,254 $",,(21) $,"3,341"
EMEA (1),,691,543,,557,464,(16),"2,239"
Asia Pacific Total consolidated net revenues,,"210 2,187","487 1,852",,"218 2,029 $",464$,(6) (43）s,"909 6,489"
,,,,$,,,,
Change in deferred revenues:,,,,,,,,
Americas,,16,,(62)$,2$,,,(44)
EMEA (1),,12,(57),,,(2),,(47)
Asia Pacific,,4,(14),,,,,(10)
Total change in deferred revenues,,32,(133）,$,2 $,（2）s,,(101)
Segment net revenues:,,,,,,,,
Americas,,"1,302$",760$,,"1,256$",,(21) $,"3,297"
EMEA (1),,703,486,,557,462,(16) (6),"2,192"
Asia Pacific,,214,473,,218,,,899
Total segment net revenues,$,"2,219","1,719",$,"2,031 $",462$,（43）$,"6,388"
