PART I,,Page No. 3
,Cautionary Statement,3
Item 1.,Business,4
Item 1A.,Risk Factors,10
Item 1B.,Unresolved Staff Comments,
Item 2.,Properties,
Item 3.,Legal Proceedings,
Item 4.,Mine Safety Disclosures,
PART IL,,2222823
Item 5.,"Market for Registrant's Common Equity,Related Stockholder Matters,and Isuer Purchases of Equity Securities",
Item 6.,Selected Financial Data,
Item 7.,Management's Discussion and Analysis of Financial Condition and Results of Operations,
Item 7A.,Quantitative and Qualitative Disclosures about Market Risk,60
Item 8.,Financial Statements and Supplementary Data,62
Item 9.,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,62
Item 9A.,Controls and Procedures,
Item 9B.,Other Information,
PART III,,≌4
Item 10.,"Directors, Executive Officers, and Corporate Governance",64
Item 11.,Executive Compensation,64
Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,64
Item 13.,"Certain Relationships and Related Transactions,and Director Independence",64
Item 14.,Principal Accounting Fees and Services,45
PART IV.,,
Item 15.,"Exhibits, Financial Statement Schedules",65
Item 16.,Form 10-K Summary.,65
Exhibit Index,,E-1
SIGNATURES,,E-5
