,"For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,"
,2019,2019,2018,2018,2017,2017
Federal income tax provision at statutory rate,343,21% $,394,21% $,403,35 %
"State taxes,net of federal benefit",20,1,36,2,4,
Research and development credits,(38),(2),(46),(2),(26),(2)
Foreign rate differential,(104),(7),(198),(11),(271),(24)
Change in tax reserves,96,6,285,15,291,25
Acquired net operating loss utilization,丨,,,一,(36),(3)
Audit settlements,54,3,(115),(6),,
Excess tax benefits related to share-based payments,(2),,(58),(3,(113),(10)
U.S. Tax Reform Act,,,(340),(18),636,55
Change in valuation allowance,11,1,61,3,,
Intra-entity IP Transfer,(230),(14),,,,
Other,(20),(1),10,1,(10),
Income tax expense,130,8% $,29,2% $,878,76 %
